Ticker,Short Name,Market Cap,P/E,Total Return YTD,Revenue T12M,PX_TO_BOOK_RATIO
TWX US Equity,TIME WARNER INC,69736898560,18.054867,-2.634044,29140999680,2.7756297447
EBAY US Equity,EBAY INC,68237021184,,-2.129365,17511000064,3.4435562369
ABT US Equity,ABBOTT LABS,67399188480,29.541668,-0.577526,21554000384,2.9447389069
LOW US Equity,LOWE'S COS INC,66352369664,26.591803,-0.872102,55343000576,6.1907546158
EPD US Equity,ENTERPRISE PRODU,65829617664,22.801609,-5.81395,50862199808,4.0593491195
DD US Equity,DU PONT (EI),65509027840,18.108433,-2.204497,35092000256,4.1757064407
AGN US Equity,ALLERGAN INC,63783075840,40.058853,0.714993,7011799936,8.9614275707
COST US Equity,COSTCO WHOLESALE,63573594112,29.94191,1.813056,114488999936,5.1438481193
CNR CN Equity,CAN NATL RAILWAY,62826348544,22.268929,-3.03106,11672000000,4.5882063365
MDLZ US Equity,MONDELEZ INTER-A,62358745088,23.71744,2.18857,34902000128,2.0215457836
CL US Equity,COLGATE-PALMOLIV,62294073344,24.755756,-1.214054,17416999936,43.8690659469
ESRX US Equity,EXPRESS SCRIPTS,62059429888,25.432404,-0.129917,100355897344,3.0786539242
SPG US Equity,SIMON PROPERTY,61230022656,39.832302,6.968317,5147926912,12.1530994959
SBUX US Equity,STARBUCKS CORP,60746993664,30.30587,-1.060332,16447900160,11.5410489812
LMT US Equity,LOCKHEED MARTIN,60288000000,17.719389,-0.90357,44603000832,13.1805858383
DUK US Equity,DUKE ENERGY CORP,59744837632,18.722874,1.11324,25080000000,1.4421011027
OXY US Equity,OCCIDENTAL PETE,59715719168,11.183289,-4.465945,24531000320,1.3734381837
DHR US Equity,DANAHER CORP,59588247552,23.41572,-1.061715,19763299840,2.5117777549
EMC US Equity,EMC CORP/MA,58503618560,21.568556,-3.328849,24072999936,2.5808924081
BLK US Equity,BLACKROCK INC,58461724672,18.688192,-2.298915,11073999872,2.1326311324
MET US Equity,METLIFE INC,58165350400,9.072165,-5.342946,72654997504,0.8339606054
F US Equity,FORD MOTOR CO,57884258304,8.934926,-2.967742,145243000832,2.214732882
GM US Equity,GENERAL MOTORS C,57583996928,15.136847,2.663994,156796997632,1.4374451719
VRX CN Equity,VALEANT PHARMACE,57254330368,45.974426,3.192447,8047257088,9.4643241698
MON US Equity,MONSANTO CO,56738234368,23.742115,-1.481545,15582000128,7.6569817545
PCLN US Equity,PRICELINE GROUP,55998431232,24.007956,-6.195352,8143026944,6.4115275373
TXN US Equity,TEXAS INSTRUMENT,55677571072,21.5131,-1.412141,12804000000,5.3173115499
CAT US Equity,CATERPILLAR INC,53160075264,13.605928,-4.064243,55341999104,2.8242083434
BMO CN Equity,BANK OF MONTREAL,51694342144,12.392523,-3.188127,21297999872,1.6512141564
TMO US Equity,THERMO FISHER,51575283712,36.514935,2.905253,15863699968,2.514567178
EFA US Equity,ISHARES MSCI EAF,51372142592,,-2.810649,,#N/A Field Not Applicable
DOW US Equity,DOW CHEMICAL CO,51149533184,14.318868,-4.845427,58168999936,2.3537588582
SU CN Equity,SUNCOR ENERGY,51088670720,12.012257,-4.390251,41156999168,1.2243074707
VTI US Equity,VANGUARD TL SK E,50294218752,,-1.594342,,#N/A Field Not Applicable
MCK US Equity,MCKESSON CORP,49796608000,30.214426,3.454089,161263003648,5.5785466353
TGT US Equity,TARGET CORP,48899756032,26.812656,1.132911,73703998464,2.9744837722
FDX US Equity,FEDEX CORP,48457789440,21.568726,-1.508701,46762999808,3.1132956858
TJX US Equity,TJX COS INC,47286337536,22.440392,-0.495777,28583241216,10.7481987774
ENB CN Equity,ENBRIDGE INC,47129993216,65.755966,-7.063946,37137000448,4.3974699495
NEE US Equity,NEXTERA ENERGY,46677417984,26.904655,0.611536,15987000064,2.4787794293
YHOO US Equity,YAHOO! INC,46031810560,36.623798,-3.801224,4630855936,1.2959855238
EOG US Equity,EOG RESOURCES,45857427456,16.063496,-9.112631,16825515008,2.5873883665
BCE CN Equity,BCE INC,45704769536,17.188538,2.102107,20895999488,4.229164408
PNC US Equity,PNC FINANCIAL SE,45648695296,12.211219,-4.910669,16380000000,1.1299585554
VWO US Equity,VANGUARD FTSE EM,45419864064,,-0.974511,,#N/A Field Not Applicable
SO US Equity,SOUTHERN CO,45260578816,17.34968,2.423129,18376999424,2.280560473
GD US Equity,GENERAL DYNAMICS,44803891200,18.13722,-1.758464,30656000000,3.4438041485
D US Equity,DOMINION RES/VA,44651646976,22.627596,-0.559168,12677999872,3.858850835
COF US Equity,CAPITAL ONE FINA,44472086528,10.638922,-3.101157,23627000320,1.014961318
LVS US Equity,LAS VEGAS SANDS,44206141440,16.457043,-5.226962,14823540992,6.1333222112
BK US Equity,BANK NY MELLON,43981475840,14.818316,-3.697313,15945999872,1.1922653618
DTV US Equity,DIRECTV,42971373568,14.764222,-1.314878,32932000256,#N/A N/A
KMB US Equity,KIMBERLY-CLARK,42672189440,20.649569,-0.839537,21368000000,10.0064067729
EMR US Equity,EMERSON ELEC CO,41735606272,16.726194,-2.332737,24536999936,4.1504426793
REGN US Equity,REGENERON PHARM,41450967040,134.1978,-0.616697,2627640064,16.3244055821
TWC US Equity,TIME WARNER CABL,40677310464,18.892645,-4.629747,22599000064,5.1440365842
SDRL NO Equity,SEADRILL LTD,40235220992,1.226937,-5.610178,4718999936,0.5065597833
IMO CN Equity,IMPERIAL OIL,40167718912,11.164813,-5.314685,34942000128,1.795733477
ADP US Equity,AUTOMATIC DATA,40136048640,27.117006,-0.131943,11950299904,6.8839203455
MFC CN Equity,MANULIFE FIN,39626395648,10.421569,-4.147881,44257999360,1.3390768543
DAL US Equity,DELTA AIR LI,39311134720,14.538771,-4.513107,39790999552,3.1970670783
AMT US Equity,AMERICAN TOWER C,39249825792,53.85601,0.151747,3995703104,9.355757462
QQQ US Equity,POWERSH-QQQ,39206047744,,-1.830508,,#N/A Field Not Applicable
PRU US Equity,PRUDENTL FINL,38983438336,8.343472,-5.494143,46159000064,0.9396551993
BAX US Equity,BAXTER INTL INC,38724341760,15.371588,-2.51058,16780000000,4.6099699057
APC US Equity,ANADARKO PETROLE,38713069568,16.623163,-7.345451,18630999552,1.8606303249
TRP CN Equity,TRANSCANADA CORP,38191550464,23.142473,-5.604198,9900999936,2.2290656254
BX US Equity,BLACKSTONE GROUP,38095024128,8.688312,-1.123266,8576292096,5.7075074566
AAL US Equity,AMERICAN AIRLINE,38022139904,8.088921,-1.156074,39856000000,7.6487910422
CM CN Equity,CAN IMPL BK COMM,37970264064,12.940459,-4.216746,17352999936,2.1586969954
LYB US Equity,LYONDELLBASELL-A,37655236608,8.829042,-5.265147,46455999488,3.8510918614
SCHW US Equity,SCHWAB (CHARLES),37462511616,30.521276,-4.968533,6037999872,3.5332749726
BAM/A CN Equity,BROOKFIELD ASS-A,37325500416,12.023287,1.820676,19403999744,1.678924552
ALXN US Equity,ALEXION PHARM,37264052224,75.196419,1.56731,2076165984,11.9327736694
KRFT US Equity,KRAFT FOODS GROU,37207773184,15.895176,0.845833,18103999488,6.6777793693
PX US Equity,PRAXAIR INC,36800352256,20.291021,-2.516205,12292999680,5.6166594654
PSX US Equity,PHILLIPS 66,36703473664,10.830873,-7.517433,154640003072,1.6878263743
TRI CN Equity,THOMSON REUTERS,36622098432,31.57456,-2.624279,12674000128,2.0656172692
ITW US Equity,ILLINOIS TOOL WO,35989348352,20.804924,-2.78775,14533999872,4.616386436
CRM US Equity,SALESFORCE.COM,35922829312,,-4.012816,5074220032,9.4720812342
SYK US Equity,STRYKER CORP,35622658048,27.004248,-0.180216,9524999936,4.1271430177
CCL US Equity,CARNIVAL CORP,35614695424,23.535637,1.478046,15882999808,1.4715909091
ADBE US Equity,ADOBE SYS INC,35465322496,138.167816,-2.187065,4147065024,5.2456657105
CP CN Equity,CANADIAN PACIFIC,35324239872,26.835287,-6.735199,6466999936,5.0316241889
CNQ CN Equity,CAN NATURAL RES,35125145600,11.599369,-10.412022,18426000128,1.2577617747
POT CN Equity,POTASH CORP SAS,34940162048,20.877714,2.483566,6753999872,3.3714047874
TRV US Equity,TRAVELERS COS IN,34796609536,10.326344,-0.803022,27115999744,1.3742348248
MU US Equity,MICRON TECH,34457911296,9.906383,-8.311911,16889000448,2.950668814
RAI US Equity,REYNOLDS AMERICA,34246535168,11.494925,0.295632,8376000000,6.8589094255
VMW US Equity,VMWARE INC-CL A,33943709696,33.928425,-4.447405,5815000064,4.5750297298
CSX US Equity,CSX CORP,33915492352,18.145163,-6.348328,12508999936,3.0374881549
ANTM US Equity,ANTHEM INC,33893840896,14.810723,-0.087531,72791498752,1.3981042571
PSA US Equity,PUBLIC STORAGE,33722959872,38.892433,5.620773,2142768032,6.5601549668
HAL US Equity,HALLIBURTON CO,33356038144,10.474805,0.076275,31738999296,2.1520831784
RTN US Equity,RAYTHEON CO,33171146752,15.964869,0.009607,22552999936,2.8115716146
BEN US Equity,FRANKLIN RES INC,33166178304,14.349212,-3.756543,8491400064,2.8654771054
PCP US Equity,PRECISION CASTPT,32746889216,18.218924,-4.62056,9936999680,2.8152415262
GWO CN Equity,GREAT-WEST LIFEC,32554151936,13.545303,-2.977077,36513999872,1.9706178539
1910 HK Equity,SAMSONITE INTL,32524996608,22.859608,0.434784,2159483968,3.585579869
ADM US Equity,ARCHER-DANIELS,32170063872,13.730066,-3.903844,84449998848,1.5959962814
GIS US Equity,GENERAL MILLS IN,32071077888,19.994022,-0.39378,17641800192,4.8217447347
CTSH US Equity,COGNIZANT TECH-A,32059518976,22.47147,-0.018987,9875938816,4.3430539914
KR US Equity,KROGER CO,31931172864,19.552103,1.214762,106479998976,5.9381723936
NSC US Equity,NORFOLK SOUTHERN,31872512000,16.139963,-6.030472,11634999808,2.5623050326
WMB US Equity,WILLIAMS COS INC,31849381888,105.06823,-5.184687,7155999872,3.4866546671
VFC US Equity,VF CORP,31803074560,25.057728,-1.682246,11993399808,5.4221681895
EEM US Equity,ISHARES MSCI EME,31762927616,,-1.399845,,#N/A Field Not Applicable
HCA US Equity,HCA HOLDINGS INC,31645820928,16.944229,-0.545035,36117999616,#N/A N/A
YUM US Equity,YUM! BRANDS INC,31643854848,20.925684,-0.713791,13460999936,12.6180482236
DISH US Equity,DISH NETWORK-A,31554260992,40.706726,-6.077652,14103599104,20.4378378014
STT US Equity,STATE ST CORP,31541768192,14.918445,-3.757958,10518000128,1.5924224529
AET US Equity,AETNA INC,31473633280,13.833953,0.742988,56414699520,2.1093231274
EXC US Equity,EXELON CORP,31172788224,15.862492,-2.18447,26348000256,1.3204462977
JCI US Equity,JOHNSON CONTROLS,30962925568,14.575647,-4.054611,43162000384,2.7288250067
PPG US Equity,PPG INDS INC,30729672704,24.314026,-3.127837,15355000064,5.020367974
ETN US Equity,EATON CORP PLC,30649667584,14.353986,-4.97351,22513999872,1.8478126767
MMC US Equity,MARSH & MCLENNAN,30587852800,20.563015,-1.205455,12820000000,4.0475276796
APD US Equity,AIR PRODS & CHEM,30444640256,24.049894,-1.372804,10438999808,4.1238970626
ECL US Equity,ECOLAB INC,30125690880,25.696819,-3.960964,14159200000,3.9132798784
AEP US Equity,AMERICAN ELECTRI,30058934272,17.262709,1.185766,16767000064,1.7819597604
NOC US Equity,NORTHROP GRUMMAN,30041333760,16.239704,0.902369,24028000256,3.0543241194
CME US Equity,CME GROUP INC,29743097856,28.755096,-0.394809,2958400000,1.3734180285
DE US Equity,DEERE & CO,29389072384,10.033347,-3.515316,36066800128,3.2542819621
ALL US Equity,ALLSTATE CORP,29280636928,12.999382,-0.626338,35272000512,1.4251797397
VIAB US Equity,VIACOM INC-B,29272395776,12.900219,-5.249166,13783000064,7.940968342
VRTX US Equity,VERTEX PHARM,29021362176,,1.565657,787015992,25.0774318125
GLW US Equity,CORNING INC,28995403776,13.142086,-1.351938,9266999808,1.4887232956
DFS US Equity,DISCOVER FINANCI,28718872576,12.039925,-3.298208,9674000128,2.6850681063
AMAT US Equity,APPLIED MATERIAL,28661839872,22.719175,-5.838684,9072000000,3.6414292306
VNQ US Equity,VANGUARD REIT ET,28441786368,,4.654317,,#N/A Field Not Applicable
EL US Equity,ESTEE LAUDER,28216711168,24.966244,-2.454062,10924800000,7.4960803248
IWM US Equity,ISHARES RUSSELL,28120258560,,-2.415983,,#N/A Field Not Applicable
ETE US Equity,ENERGY TRANSFER,27902738432,31.80442,-9.74207,54816999424,39.357478834
BDX US Equity,BECTON DICKINSON,27796711424,23.658531,3.291177,8445999872,5.4586497965
LUV US Equity,SOUTHWEST AIR,27692769280,24.525539,-3.591684,18405000192,3.7276577591
ILMN US Equity,ILLUMINA INC,27678640128,98.05687,5.601905,1736305024,21.7204405354
LNKD US Equity,LINKEDIN CORP-A,27587092480,,-3.286754,2022554016,9.2107481828
GLD US Equity,SPDR GOLD SHARES,27570624512,,2.509243,,#N/A Field Not Applicable
CBS US Equity,CBS CORP-B,27556575232,17.622955,-4.029634,14322000128,3.6695721921
EQR US Equity,EQUITY RESIDENTI,27387410432,57.87212,5.206021,2589222016,2.6505419536
SRE US Equity,SEMPRA ENERGY,27273594880,25.089632,-0.529817,10993000192,2.4044312339
IWF US Equity,ISHARES RUSSELL,27256768512,,-1.474745,,#N/A Field Not Applicable
VOO US Equity,VANGUARD S&P 500,27229976576,,-1.507429,,#N/A Field Not Applicable
CI US Equity,CIGNA CORP,27162327040,14.577445,0.903695,34009000448,2.4446177698
CAH US Equity,CARDINAL HEALTH,27148775424,22.104626,1.6103,90631000064,4.3794788351
CCI US Equity,CROWN CASTLE INT,26875553792,,2.28717,,4.5804524202
BBT US Equity,BB&T CORP,26787897344,11.906713,-4.371306,9955000064,1.2423077323
AFL US Equity,AFLAC INC,26728798208,9.43333,-2.897365,23015000064,1.496868904
NOV US Equity,NATL OILWELL VAR,26605152256,10.183838,-5.707306,22791000064,1.2361143857
TSLA US Equity,TESLA MOTORS,26449291264,,-5.152649,2856914048,25.9209642588
BND US Equity,VANGUARD TOTAL B,26444836864,,0.983365,,#N/A Field Not Applicable
GGP US Equity,GENERAL GROWTH P,26355240960,110.772133,5.972273,2562711040,3.6312109458
MG CN Equity,MAGNA INTL,26171234304,12.165546,0.468666,36419000320,2.4669543726
ATD/B CN Equity,ALIMEN COUCHE-B,26169722880,24.133724,-5.627435,38179099648,5.3343990602
HCN US Equity,HEALTH CARE REIT,26128732160,87.900894,5.378617,3264353024,2.1419706124
CMI US Equity,CUMMINS INC,26112139264,16.88299,-0.8601,18719000064,3.3500369992
PCG US Equity,PG&E CORP,25935054848,17.148886,2.535685,16756999936,1.6417282858
ETP US Equity,ENERGY TRANSF PA,25733789696,56.654835,-1.769233,50910999552,1.8314379872
IWD US Equity,ISHARES RUSSELL,25623937024,,-1.666665,,#N/A Field Not Applicable
LB US Equity,L BRANDS INC,25478010880,26.784616,0.577701,11203202304,#N/A N/A
SHW US Equity,SHERWIN-WILLIAMS,25470107648,30.843225,0.866788,11017178880,18.8397295507
T CN Equity,TELUS CORP,25456306176,18.200659,-0.501311,11822000128,3.1309348264
INTU US Equity,INTUIT INC,25314967552,32.067707,-3.547027,4556000000,8.6464305457
HSE CN Equity,HUSKY ENERGY INC,25183694848,12.864322,-6.90909,24312000512,1.2064623793
WDC US Equity,WESTERN DIGITAL,25113380864,15.820789,-2.312554,15269000192,2.8232466649
L CN Equity,LOBLAW COS LTD,25062717440,186.964523,-2.348398,38838000128,1.9913785498
MPC US Equity,MARATHON PETROLE,24920342528,10.139298,-1.462441,94149998592,2.3036354213
SLF CN Equity,SUN LIFE FINANCI,24894609408,12.134329,-3.029572,23099000320,1.5535339281
PWF CN Equity,POWER FINANCIAL,24883968000,12.54122,-3.289106,40001000448,1.7297501395
HLT US Equity,HILTON WORLDWIDE,24881281024,72.552399,-3.142966,10317000192,5.1944219758
VLO US Equity,VALERO ENERGY,24660103168,7.832792,-4.42424,137414004736,1.2041414952
ICE US Equity,INTERCONTINENTAL,24654704640,29.140593,-0.246246,3827000000,1.9596281909
BRCM US Equity,BROADCOM CORP-A,24479199232,30.473446,-4.56959,8348999936,2.8388262898
BHI US Equity,BAKER HUGHES INC,24428865536,16.840494,0.713397,23775999488,1.3509298999
4589 JP Equity,ACUCELA INC,24350097408,76.555557,-4.225352,5572811776,28.5086903195
SYF US Equity,SYNCHRONY FINANC,24345925632,,-1.848737,,2.4490420114
UAL US Equity,UNITED CONTINENT,24185206784,16.369204,-2.03319,38917001216,6.2702740561
CB US Equity,CHUBB CORP,24036493312,13.698892,-1.488355,14045999872,1.4562276426
IJH US Equity,ISHARES-C S&P MC,23889213440,,-1.415748,,#N/A Field Not Applicable
AGG US Equity,ISHARES CORE U.S,23849949184,,0.735559,,#N/A Field Not Applicable
FCX US Equity,FREEPORT-MCMORAN,23751540736,8.247634,-2.140411,22088000000,1.1011254983
SYY US Equity,SYSCO CORP,23750506496,22.471861,1.788871,47247525888,4.458592569
PPL US Equity,PPL CORP,23723118592,13.950546,-1.81669,10393999872,1.6965916196
VEA US Equity,VANGUARD FTSE ET,23670050816,,-2.771909,,#N/A Field Not Applicable
PCAR US Equity,PACCAR INC,23664789504,18.385828,-1.735039,18476800000,3.3047854369
TWTR US Equity,TWITTER INC,23654586368,,3.930861,1166599008,6.6855589836
DVN US Equity,DEVON ENERGY CO,23633707008,28.196774,-5.619995,16160000000,1.0654730424
MHFI US Equity,MCGRAW HILL FINA,23612354560,23.601765,-2.258937,5095000064,15.3227484305
CCL LN Equity,CARNIVAL PLC,23574145024,28.318291,2.877698,15882999808,1.4495415346
RCI/B CN Equity,ROGERS COMMUNI-B,23525232640,16.063204,0.37636,12727000064,4.4462827926
WM US Equity,WASTE MANAGEMENT,23495925760,22.125803,-0.019482,14058999808,4.3796420366
K US Equity,KELLOGG CO,23435788288,11.780623,0.871026,14567000064,6.9268550867
AMP US Equity,AMERIPRISE FINAN,23365449728,16.672369,-4.257087,12153000192,2.8419467033
M US Equity,MACY'S INC,23324116992,15.753872,2.737647,27942999552,4.3588336109
HSY US Equity,HERSHEY CO/THE,23222220800,27.677795,1.164244,7367993984,15.0438146863
VNO US Equity,VORNADO RLTY TST,23127103488,2171.093262,4.655512,2671441024,4.4140073669
TMUS US Equity,T-MOBILE US INC,22810163200,90.656738,4.862656,28236999680,1.5701317792
LO US Equity,LORILLARD INC,22807779328,19.827477,0.651414,5020999936,#N/A N/A
SE US Equity,SPECTRA ENERG,22773749760,21.718695,-6.501379,5868000000,2.7254355048
AVB US Equity,AVALONBAY COMMUN,22594492416,36.873436,4.755496,1638575008,2.4979088946
VTR US Equity,VENTAS INC,22582544384,44.359283,6.610887,3004615040,2.6317573374
SCCO US Equity,SOUTHERN COPPER,22532327424,16.640041,-2.340425,5851629952,3.8747211638
PLD US Equity,PROLOGIS INC,22104514560,48.566299,2.742274,1746685984,1.6541792645
APA US Equity,APACHE CORP,22061854720,18.979259,-6.494335,14257999872,0.7165145315
CTL US Equity,CENTURYLINK INC,21955033088,23.92416,-2.804448,18135000064,1.3349944273
CERN US Equity,CERNER CORP,21919102976,43.957203,-0.726881,3272000000,6.4526161104
IP US Equity,INTL PAPER CO,21858473984,9.689608,-3.695415,27527000064,3.206058708
ZTS US Equity,ZOETIS INC,21812643840,29.759583,1.1155,4718999936,15.9875541728
HUM US Equity,HUMANA INC,21732163584,23.116796,-1.32285,46359000064,2.1415523997
EIX US Equity,EDISON INTL,21731606528,15.547973,1.863154,13240999936,2.0241809283
DISCA US Equity,DISCOVERY COMM-A,21687713792,18.939209,-6.502182,6126000000,3.0666044189
TROW US Equity,T ROWE PRICE GRP,21664112640,18.973457,-2.725371,3889500032,4.1644963606
HCP US Equity,HCP INC,21649680384,23.221674,7.063367,2193048000,2.0090845782
MAR US Equity,MARRIOTT INTL-A,21643098112,31.30846,-2.114573,13456000000,#N/A N/A
GMCR US Equity,KEURIG GREEN MOU,21557460992,36.063019,0.472072,4707679936,6.2427190528
CMG US Equity,CHIPOTLE MEXICAN,21530851328,53.604198,1.424376,3882604992,11.370932557
QSR CN Equity,RESTAURANT BRAND,21325477888,,2.197802,,#N/A N/A
DG US Equity,DOLLAR GENERAL C,21321740288,20.984745,-0.608204,18464473600,3.990117289
STX US Equity,SEAGATE TECHNOLO,21031643136,13.487403,-3.353389,14020000000,7.1338387313
PEG US Equity,PUB SERV ENTERP,21031170048,14.346658,0.362235,10431000064,1.7400019709
MYL US Equity,MYLAN INC,21000491008,19.006687,-0.461235,7445425920,6.1975394884
VIG US Equity,VANGUARD DVD A E,20942559232,,-1.367669,,#N/A Field Not Applicable
SNDK US Equity,SANDISK CORP,20910886912,19.390793,-3.276186,6620305024,2.9599090426
BXP US Equity,BOSTON PROPERTIE,20902713344,65.01429,6.092156,2359489984,3.6527074924
HES US Equity,HESS CORP,20718522368,11.544748,-6.122997,16328000000,0.8544072966
XLF US Equity,SPDR-FINL SELECT,20595634176,,-2.587947,,#N/A Field Not Applicable
STI US Equity,SUNTRUST BANKS,20592316416,11.614122,-5.75179,8720000000,0.9666435344
PXD US Equity,PIONEER NATURAL,20537485312,,-7.336253,4364937984,2.7605302943
ABC US Equity,AMERISOURCEBERGE,20115277824,73.759254,2.018633,119569129472,10.4303586296
ZMH US Equity,ZIMMER HLDGS,20098912256,20.460943,4.637632,4691100032,3.0724862836
MJN US Equity,MEAD JOHNSON,20097951744,30.533968,-1.054304,4375800064,39.4755717228
